sample	medianCoverage	%Coverage>10x
213714	308.62	93.98
213716	1484.8	98.32
213734	890.77	96.98
213724	1282.35	98.32
213739	4821.15	100
213736	1611.85	98.32
213749	2642.86	99.66
213733	872.66	96.31
213762	586.58	96.31
213759	3576.8	99.66
213755	952.32	97.65
213752	2254.53	99.66
213801	566.34	92.97
213788	595.84	94.97
213781	941.5	97.65
213794	805.65	96.98
213811	673.82	96.31
213813	458.78	92.97
213816	2157.71	98.99
213822	610.95	94.97
213789	1927.74	98.32
213828	1692.19	99.66
213827	1617.4	98.32
213829	373.62	94.97
213831	457.5	94.3
213830	2036.59	98.99
213832	3514.58	100
213834	777.86	95.64
213826	1916.64	98.32
213835	3152.18	99.66
213839	1355.4	97.65
213836	575.01	94.3
213844	2648.88	99.66
213847	1956.59	100
213837	1281.39	97.65
213845	2126.97	99.66
213850	3248.33	99.66
213848	638.11	94.3
213849	1612.76	98.99
213857	1239.39	98.32
213852	1365.95	98.32
213853	2217.31	99.66
213858	1860.17	99.66
213860	394.76	94.97
213859	1402.38	98.32
213865	1294.9	98.32
213866	2299.14	99.66
213862	2957.51	99.66
213863	1337.1	99.66
213871	2898.19	98.99
213869	880.59	96.31
213876	897.68	94.97
213870	291.1	90.96
213874	1262.35	98.99
213872	1120.13	97.65
213882	677.5	95.64
213881	247.98	92.97
213878	6921.7	99.66
213886	460.1	95.64
213884	430.18	93.64
213885	554.62	96.31
213889	187.64	86.95
213894	257.25	88.29
213920	503.8	94.3
213921	390.1	90.96
213935	535.89	94.3
213891	1177.37	97.65
213954	699.34	97.65
213955	880.68	98.32
213948	840.12	97.65
213951	968.19	96.98
213960	2280.17	99.66
213967	798.83	98.32
213946	393.65	91.63
213961	1710.43	98.99
213971	892.11	96.31
213972	1347.17	98.99
213968	558.8	94.97
213970	723.33	95.64
213974	531.46	96.31
213977	855.82	95.64
213973	1363.57	98.99
213976	1791.93	99.66
213975	2289.61	99.66
213998	273.62	92.97
214000	2835.06	99.66
213999	1591.4	99.66
213980	906.42	97.65
214001	866.12	96.31
214004	1925.69	98.99
214002	434.62	94.97
214005	1354.28	98.99
214010	899.64	93.64
214009	2291.14	98.32
214011	1320.73	96.31
214012	699.29	93.64
214016	358.58	93.64
214019	4317.58	100
214007	595.91	95.64
214033	414.95	91.63
214030	947.86	94.97
214020	3241.34	99.66
214043	981.76	96.31
214041	723.62	94.97
214044	2810.58	99.66
214047	501.44	94.3
214046	2650.62	98.99
214048	4540.24	99.66
214049	992.12	96.98
214054	766.22	95.64
214056	2350.42	98.32
214052	971.4	98.66
214059	3141.23	100
214057	2997.93	98.99
214055	1769.26	98.66
214060	4331.47	99.66
214066	3202.62	98.99
214061	2221.27	97.65
214064	2673.56	98.99
214071	875.98	95.64
214073	1842.9	97.65
214063	3020.81	99.66
214078	1540.07	96.31
214083	1097.07	95.64
214074	4274.35	100
214080	1352.1	95.64
214081	2855.19	98.32
214087	422.45	92.3
214075	1027.77	97.32
214085	1430.07	96.31
214089	1673.59	97.65
214095	352.59	94.3
214098	1752.19	96.98
214103	2127.66	98.32
214091	3513.94	99.66
214094	1999.62	97.65
214108	1559.51	97.65
214110	1349.66	96.98
214109	2512.67	97.65
214105	1550.92	97.65
214090	3421.14	99.66
214113	1214.73	95.64
214111	2188.18	97.65
214112	1745.43	96.98
214117	3587.08	100
214115	1124.01	96.31
214121	1295.97	98.99
214114	3477.33	98.99
214122	2010.1	98.32
214118	922.22	96.31
214128	1329.72	96.31
214123	1254.51	97.65
214126	508.13	92.97
214127	496.31	95.64
214142	734.66	94.97
214144	2393.85	96.98
214133	1340.88	98.32
214146	547.02	95.64
214160	1003.98	97.65
214149	1242.3	97.32
214158	721.96	96.66
214150	414.59	96.66
214155	1516.28	98.66
214171	236.03	90.29
214162	1179.17	96.66
214147	620.49	97.32
214172	294.82	92.97
214176	502.51	95.64
214177	384.26	92.3
214175	228.11	90.96
214173	212.44	88.95
214179	713.07	96.98
214184	367	92.97
214178	691.43	97.65
214185	321.18	94.97
214195	397.86	91.63
214187	655.6	94.97
214220	389.72	94.3
214216	454.77	93.64
214237	207.83	92.97
214218	1052.24	96.31
214231	324	90.96
214247	1993.62	98.99
214222	1182.37	97.65
214232	298.58	93.64
214266	608.71	95.64
214246	3761.53	98.99
214279	775.18	96.31
214281	365.26	92.97
214269	270.48	90.29
214282	262.93	90.96
214249	3172.4	98.99
214291	254.94	92.97
214290	425.61	91.63
214283	202.26	89.62
214284	176.72	87.62
214298	334.88	92.3
214294	502.06	92.97
214306	175.73	88.95
214292	186.22	89.62
214308	300.38	88.29
214288	323.12	92.97
214307	385.37	92.97
214327	271.94	89.62
214302	250.57	91.63
214316	147.86	86.28
214322	172.22	88.95
214328	396.85	92.3
214361	733.08	98.99
214332	168.44	87.62
214357	298.11	90.96
214330	113.26	85.61
214363	532.42	98.32
214381	495.76	94.97
214397	257.02	91.63
214384	633.97	96.31
214395	273.44	90.29
214448	849.29	96.31
214406	244.12	88.95
214446	881.07	94.97
214439	1520.64	97.65
214463	702.32	94.3
214454	1921.52	98.99
214464	483.09	94.3
214449	1615.01	98.32
214465	1686.62	97.65
214466	1260.09	96.98
214470	410.94	93.64
214462	455.88	94.3
214469	1765.98	97.65
214468	557.94	94.3
214472	500.32	94.3
214467	755.44	95.64
214471	415.65	93.64
214473	353.74	92.3
214477	1712.26	96.98
214475	604.19	94.97
214481	464.26	92.97
214480	1026.34	96.31
214485	990.19	98.32
214478	550.74	94.3
214484	660.72	92.97
214490	996.13	96.31
214492	2071.69	97.65
214483	2054.03	98.32
214491	1372.93	97.65
214487	420.05	92.3
214494	1435.26	98.99
214495	1372.09	96.31
214496	1718.92	97.65
214498	1879.12	97.65
214497	1711.24	98.32
214503	1264.76	96.31
214500	1145.66	95.64
214504	2315.94	98.99
214501	646.32	94.3
214502	337.6	91.63
214506	1494.1	96.98
214505	2346.05	99.66
214509	956.75	94.97
214539	2721.98	98.32
214538	1139.38	96.31
214541	517.59	92.97
214508	531.05	94.97
214540	1022.68	95.64
214542	769.01	94.3
214550	851.54	95.64
214546	492.64	90.29
214545	1226.4	96.31
214558	2413.82	98.99
214559	1982.47	99.66
214561	1291.27	97.65
214560	603.41	94.97
214566	1817.87	97.65
214549	1690.39	97.65
214563	1106.84	97.65
214568	1491.69	97.65
214565	1153.63	96.98
214571	2274.88	99.66
214567	2740.76	98.32
214573	697.25	94.97
214575	1681.76	98.32
214577	1610.03	96.98
214574	3386.06	99.66
214583	3115.46	99.66
214581	820.21	94.97
214580	1220.14	97.65
214578	355.11	92.3
214587	403.8	92.97
214588	1165.26	96.98
214594	1371.05	98.32
214585	2154.72	97.65
214596	2954.1	99.66
214593	384.74	93.64
214591	1721.84	96.31
214597	830.68	94.3
214602	1370.99	96.31
214607	636.86	93.64
214604	1307.97	96.98
214605	296.38	92.97
214608	654.18	94.97
214611	1265.84	96.98
214625	461.58	93.64
214609	641.4	94.3
214628	431.92	93.64
214639	352.75	90.96
214662	2597.02	99.33
214623	1308.93	96.31
214633	2148.48	94.97
214650	1123.07	93.64
214666	4692.64	99.66
214670	3116.02	98.99
214665	2847.76	99.66
214669	574.27	94.97
214671	1560.09	96.31
214672	4772.33	99.66
214673	1379.79	95.64
214677	2666.51	98.99
214668	2613.13	98.99
214680	3053.84	98.99
214679	2806.94	100
214683	2087.44	98.99
214674	284.04	92.97
214686	2226.73	98.32
214678	4510.04	100
214690	1396.81	96.98
214685	900.8	97.65
214688	517.38	95.64
214684	3857.19	100
214814	790.46	95.64
214813	860.75	94.97
214815	320.21	92.97
214844	234.45	90.29
214816	471.3	94.97
214839	502.88	95.64
214848	1024.04	98.99
214851	351.85	92.97
214861	1111.08	98.32
214855	390.41	96.31
214868	2221.44	99.66
214869	839.43	96.31
214863	2116.07	98.32
214845	891.34	97.65
214871	1962.55	99.66
214873	654.24	95.64
214879	359.37	92.97
214890	2391.74	99.66
214889	1665.88	99.66
214892	2235.42	99.66
214893	514.07	93.64
214895	1885.34	98.99
214894	2389.39	99.66
214897	2171.16	98.99
214898	1547.53	98.99
214899	1099.67	97.65
214905	2045.89	98.99
214904	1119.75	96.98
214910	987.71	98.32
214911	363.89	95.64
214907	541.07	94.97
214915	594.19	94.97
214912	337.08	96.31
214914	370.55	94.3
214919	1779.34	99.66
214917	710.74	96.98
214922	1096.15	96.31
214918	206.56	94.3
214920	2419.11	98.99
214916	912.9	97.65
214926	334.05	94.97
214930	146.42	90.96
214923	881.36	96.31
214934	151.63	88.29
214935	286.66	92.3
214933	151.64	88.95
214925	1897.9	98.99
214938	1148.09	96.98
214937	1102.73	96.31
214942	571.55	94.3
214941	380.89	92.97
214947	183.85	87.62
214936	457.71	94.97
214948	633.78	94.97
214958	156.86	86.95
214950	1415.76	97.65
214954	703.29	94.97
214949	237.63	88.95
214959	676.93	95.64
214966	305.04	92.3
214952	700.38	96.31
214967	796.1	96.31
214968	326.52	92.3
214964	429.22	92.97
214987	1012.5	96.98
214986	171.94	88.95
214980	407.85	93.64
214990	1242.89	96.98
215027	897.93	92.3
214985	1652.85	98.32
215028	560.38	97.65
215026	2891.1	99.66
215029	2389.96	98.99
215031	2337.66	99.66
215034	995.1	96.98
215032	768.36	97.65
215030	1392.61	98.32
215035	214.74	89.62
215036	1577.63	98.32
215037	818.24	96.98
215033	399.36	95.64
215038	689.14	96.31
215040	464.09	95.64
215039	736.76	96.98
215042	1570.2	98.32
215041	812.46	96.31
215046	431.04	94.3
215044	250.72	92.97
215043	547.53	95.64
215047	962.93	98.99
215049	554.4	93.64
215053	600.92	95.64
215048	1019.93	97.65
215052	1363.25	98.32
215050	877.29	96.98
215045	776.03	97.65
215056	310.97	93.64
215057	774.78	96.31
215058	122.5	86.95
215060	2305.08	98.99
215079	190.85	90.29
215063	1672.53	96.98
215081	1647.35	98.32
215064	1435.15	97.65
215082	365.22	94.3
215080	1639.94	97.65
215084	1469.92	98.99
215078	477.3	93.64
215086	1534.22	98.32
215083	607.16	96.98
215091	967.4	97.65
215089	1762.57	97.65
215090	409.29	94.97
215095	499.86	96.98
215094	1714.38	99.66
215101	542.73	95.64
215100	1857.97	98.99
215110	768.8	97.99
215098	279.83	93.64
215113	1418.18	98.99
215112	106.91	86.95
215116	326.52	92.97
215123	251.2	90.29
215121	1031.38	96.31
215124	1414.49	98.99
215115	1441.04	98.32
215144	2431.1	99.66
215125	777.5	96.31
215146	3888.03	99.66
215129	210.35	89.62
215145	705.64	96.98
215137	185.39	89.62
215149	1160.59	97.65
215148	2029.43	99.66
215165	834.99	95.64
215151	532.42	93.64
215154	435.42	92.97
215170	342.38	88.29
215166	538.46	92.97
215171	319.89	91.63
215174	3489.47	99.66
215175	1399.69	98.32
215177	667.5	96.31
215176	463.72	94.3
215178	1106.6	97.65
215181	2335.67	99.66
215180	2344.38	98.99
215182	3521.68	99.66
215179	3320.02	99.66
215184	2810.67	99.66
215185	2615.56	99.66
215183	3813.94	99.66
215186	3326.22	99.66
215187	1062.14	97.65
215188	1140.1	96.98
215191	838.96	96.98
215190	885.29	97.65
215193	2878.56	98.99
215196	425.31	94.65
215192	2998.73	100
215195	1330.6	98.32
215199	3925.65	99.66
215201	3824.26	99.66
215200	3742.11	100
215197	1996.48	98.99
215203	1514.04	98.99
215204	500.61	95.64
215202	3223.24	98.99
215198	3107.26	99.66
215226	1188.82	97.65
215227	3888.08	99.66
215231	3168.8	98.99
215230	1183.45	96.98
215232	3509.16	99.66
215239	1974	98.99
215240	816.82	95.64
215245	1184.36	98.66
215255	452.68	95.64
215256	2867.33	100
215246	1162.59	98.32
215264	1626.89	96.98
215248	2291.81	99.66
215267	2365.9	99.66
215235	2674.61	99.66
215261	1664.05	97.65
215272	1752.06	99.66
215265	397.64	95.64
215277	1135.95	97.65
215278	1910.42	98.32
215288	818.88	96.31
215282	1722.65	98.32
215266	605.46	96.66
215297	1217.68	97.65
215291	1200.8	97.65
215305	3956.3	99.66
215304	1654.48	98.32
215285	2270.28	99.66
215308	3464.74	99.66
215307	338.7	93.64
215313	1195.38	97.65
215310	2235.44	98.99
215309	2191.88	99.66
215317	507.15	98.32
215312	690.22	95.64
215315	1801.12	98.32
215316	4335.27	99.66
215321	453.15	93.64
215318	1975.51	98.99
215322	3671.74	100
215324	1405.94	99.33
215341	921.61	96.98
215330	1108.58	96.98
215327	698.77	94.97
215347	819.89	96.31
215338	1624.66	98.99
215384	1400.31	98.32
215357	790.43	96.98
215386	2007.66	98.32
215385	2603.98	98.99
215394	1820.16	98.32
215391	2440.24	98.99
215390	1153.85	97.65
215392	1319.16	98.32
215398	848.53	94.97
215412	836.45	96.31
215395	803.72	94.97
215400	1663.8	98.99
215413	2116.98	99.66
215417	947.02	96.98
215415	1758.62	98.32
215418	663.66	95.64
215419	1679.72	97.65
215428	2397.75	98.32
215422	606.08	94.3
215429	2755.05	99.66
215431	3069.05	99.66
215430	1116.64	97.65
215432	2182.97	99.66
215434	2816.92	98.99
215449	1163.88	96.31
215483	4860.58	99.66
215482	525.14	96.31
215484	459.71	94.3
215491	1444.99	98.32
215442	1902.71	97.65
215489	2708.16	98.99
215492	703.37	96.31
215495	806.92	95.64
215493	1055.8	97.65
215499	1483.81	98.99
215498	270.9	92.3
215497	877.82	95.64
215503	1274.47	98.32
215501	1485.38	98.32
215663	1678.81	96.98
215504	376.45	94.3
215665	1859.76	98.32
215667	3077.22	98.99
215666	3231.31	99.66
215668	1435.49	98.32
215511	1820.69	98.99
215671	1605.9	97.65
215670	3034.64	99.66
215669	2659.27	99.66
215672	2114.37	98.99
215673	2883.73	98.99
215676	2668.66	99.66
215674	478.9	94.3
215679	334.12	91.63
215677	995.44	96.98
215681	2196.07	98.99
215682	1338.14	97.65
215683	626.68	94.97
215704	5314.34	99.66
215702	1904.81	98.99
215688	1395.05	97.65
215707	878.59	96.31
215721	602.92	94.3
215719	2740.17	99.66
215724	1758.59	98.32
215722	902.4	95.64
215734	954.68	96.98
215723	3904.75	100
215729	390.08	93.64
215735	4774.67	98.99
215739	2309.97	99.66
215730	1590.16	98.32
215756	487.73	94.3
215758	945.26	94.97
215762	400.33	90.29
215759	282.4	90.29
215736	1726.06	97.65
215742	715.64	96.31
215770	488.36	94.97
215763	335.5	91.63
215774	175.69	88.95
215765	213.06	89.62
215769	642.44	94.97
215775	708.2	94.3
215780	3426.57	99.66
215772	3631.62	100
215785	2317.97	98.99
215777	1454.76	98.66
215779	878.38	96.31
215778	2122.8	98.99
215784	2328.06	98.99
215786	3015.33	99.66
215781	3985.32	99.66
215788	646.19	95.64
215787	1711.11	98.32
215789	749.12	96.98
215791	1571.66	98.32
215792	2158.48	98.32
215793	688.91	96.66
215790	3332.13	99.66
215804	866.18	94.97
215810	458.02	92.3
215813	525.59	91.63
215821	299.78	89.62
215814	581.24	93.64
215811	546.69	94.3
215818	2055.72	96.98
215828	481.47	93.64
215829	1333.47	98.32
215823	493.37	93.64
215830	1437.25	97.65
215833	1638.24	98.99
215836	181.61	90.29
215835	1727.87	98.32
215838	2113.58	98.32
215840	308.74	90.96
215834	647.92	94.3
215841	1634.82	97.65
215839	1453.2	96.98
215845	1878.99	97.65
215842	1672.01	96.98
215844	2357.7	98.99
216059	1371.04	98.32
215857	1622.71	97.65
215848	516.62	92.3
216064	1223.3	98.32
216062	3962.32	99.66
216066	395.54	96.31
216067	1606.87	99.66
215860	1176.2	95.64
216068	2423.79	98.99
216065	2125.72	99.66
216069	2207.51	98.32
216073	2962.07	99.66
216072	1004.5	96.98
216079	447.12	92.97
216076	2992.98	99.66
216077	2347.5	98.99
216080	3059.92	99.66
216083	493.68	92.97
216084	2247.64	98.99
216085	1057.73	98.32
216086	1063.35	98.99
216088	2211.23	99.66
216087	607.23	94.97
216092	309.82	91.63
216090	3585.43	99.66
216091	2323.88	99.66
216094	3963.48	99.66
216097	1503.2	98.99
216133	933.14	97.65
216138	1953.58	99.66
216098	817.27	96.98
216135	1547.95	96.98
216141	4223.42	98.99
216140	1877.04	99.66
216144	1988.38	97.99
216142	1947.01	98.32
216149	405.78	90.96
216166	919.49	95.64
216146	1957.75	99.33
216156	748.44	97.65
216169	2231.18	99.66
216163	494.91	98.32
216151	3036.81	99.66
216174	941.64	97.65
216171	1731.76	98.99
216173	666.79	97.65
216170	1937.86	98.99
216176	1983.2	98.99
216177	2143.53	100
216179	522.52	94.97
216178	1083.62	97.65
216180	1200.6	96.98
216182	433.35	92.97
216175	651.19	95.64
216184	1475.01	98.32
216186	431.94	93.64
216185	2411.91	98.99
216189	271.56	92.3
216183	1223.64	97.65
216194	2140.8	98.99
216187	1277.02	98.32
216190	721.72	95.64
216195	1503.87	98.32
216197	1799.91	98.99
216199	1111.96	97.65
216200	1715.72	98.32
216201	1174.2	97.65
216205	641.57	96.98
216202	622.55	94.3
216208	315.26	90.96
216207	856.14	97.65
216198	1522.16	98.99
216210	2124.12	98.99
216209	1893	98.99
216219	887.95	96.98
216216	466.65	90.29
216218	760.7	94.97
216220	796.52	97.65
216225	2425.34	100
216221	480.11	93.64
216228	712.62	96.31
216226	720.72	95.64
216232	379.07	92.3
216227	479.14	94.97
216248	458.88	96.31
216243	931.2	96.98
216245	1883.58	98.99
216247	520.34	98.32
216252	2489.97	99.66
216234	2178.66	98.32
216254	2144.95	99.66
216256	1912.79	98.99
216251	2506.81	98.32
216258	610.87	96.31
216255	2533.8	99.66
216262	1122.14	98.32
216260	1949.27	99.66
216263	2411.76	99.66
216264	3154.04	99.66
216268	3920.97	99.66
216269	4000.04	99.66
216275	2265.47	98.99
216273	1368.76	98.32
216270	1489.15	97.65
216272	2615.46	99.66
216279	1294.65	98.32
216299	1995.99	96.98
216281	303.75	93.64
216285	368.3	91.63
216301	771.9	96.31
216300	3329.12	99.66
216304	1403.09	96.98
216302	2714.98	99.66
216307	2576.8	99.66
216303	2097.04	98.99
216305	257.3	93.64
216318	2552.28	99.66
216317	2170.93	99.66
216306	2778.91	99.66
216325	376.48	92.97
216320	1908.28	99.66
216323	3431.34	100
216326	490.6	94.3
216330	1406.7	96.98
216331	3207.26	99.66
216338	371.7	91.63
216332	1961.15	98.99
216342	837.12	96.31
216346	2488.65	98.99
216344	1666.21	98.99
216345	3233.65	99.66
216343	552.03	94.97
216353	631.68	96.98
216349	348.28	91.63
216347	973.79	96.98
216351	835.23	95.64
216358	1805.55	99.66
216356	1500.04	98.99
216355	642.47	94.3
216357	1029.48	96.98
216362	2567.03	99.66
216363	1260.55	96.31
216360	1160.81	96.31
216364	2226.53	97.65
216365	1234.18	94.97
216366	458.06	92.97
216368	488.35	94.97
216371	627.82	94.97
216370	1693.77	98.99
216372	1558.74	96.98
216374	1400.73	97.65
216376	2958	99.66
216375	2120.35	98.99
216377	338.28	90.29
216378	699.58	95.64
216381	2274.19	99.66
216380	662.48	92.97
216382	1808.2	99.66
216383	2871.79	99.66
216384	573.38	94.97
216385	730.64	93.64
216386	1367.78	97.65
216387	380.03	92.97
216391	1077.12	98.32
216388	1967.14	98.32
216389	302.18	94.3
216397	541.87	92.97
216396	387.08	94.3
216390	1790.25	98.32
216393	393.5	89.62
216401	827.18	96.98
216399	1347.91	97.65
216400	555.08	96.98
216404	777.32	96.31
216406	706.59	96.31
216405	874.12	96.31
216398	1095.57	96.98
216408	998.04	96.98
216402	371.4	94.3
216409	237.33	90.96
216407	1491.61	96.98
216410	929.34	96.31
216411	807.3	97.65
216412	3252.72	100
216416	4313.77	99.66
216415	3457.92	98.99
216423	385.17	98.32
216418	456.48	94.3
216414	1394.72	97.65
216422	1089.76	97.65
216428	3824.94	99.66
216427	3098.6	99.66
216417	1521.33	98.32
216430	2399.78	99.33
216429	4116.17	99.66
216426	244	92.3
216425	2744.31	100
216440	3863.82	100
216441	2939.82	99.66
216444	3470.69	99.66
216445	4120.58	100
216442	3324.54	100
216443	4156.47	100
216446	3275.15	100
216449	1676.26	98.99
216447	1854.78	99.66
216448	3496.74	99.66
216451	3518.66	99.66
216454	2035.57	98.99
216452	2787.98	99.66
216450	3613.63	100
216461	1414.7	98.32
216455	3563.8	100
216453	1122.34	96.98
216460	1076.91	96.98
216467	2094.91	98.32
216463	1441.64	98.32
216470	2644	99.66
216466	932.16	98.32
216465	361.53	93.64
216472	726.91	96.98
216473	198.04	86.95
216469	515.4	94.97
216474	1461.3	98.32
216464	1631.59	97.65
216476	289.9	91.63
216485	2116.41	97.65
216483	472.91	95.64
216478	632.82	96.31
216477	452.56	92.97
216486	1446.48	94.97
216489	263.98	92.3
216487	1092.47	97.65
216488	1420.49	98.32
216499	371.76	93.64
216494	358.68	90.96
216501	1299.21	98.32
216498	269.8	87.62
216502	179.56	89.62
216495	2664.98	98.99
216506	350.38	88.29
216508	1663.68	97.65
216510	217.44	85.61
216511	2466	98.32
216516	577.64	94.3
216512	832.34	94.97
216509	701.1	96.98
216522	852.34	95.64
216518	361.12	92.3
216515	1369.59	98.32
216520	1614.63	98.32
216529	865.27	95.64
216527	737.48	96.98
216530	625.38	94.97
216528	629.22	96.31
216533	972.59	97.65
216540	4165.33	100
216539	755.81	94.97
216537	2473.28	98.32
216542	1304.32	98.32
216543	1151.78	98.32
216548	394.79	93.64
216531	458.98	93.64
216547	780.97	96.31
216546	1244.2	98.32
216549	529.88	96.31
216550	1060.77	97.65
216556	1262.01	96.31
216552	640.45	94.3
216555	2914.93	98.99
216561	2121.91	99.66
216563	588.36	97.32
216564	2098.24	100
216559	1906.28	97.65
216573	2454.35	96.98
216575	2012.43	98.99
216560	875.27	96.31
216574	2908.99	96.98
216578	2566.5	99.66
216579	1252.73	97.65
216576	1124.55	98.32
216581	1022.19	97.65
216580	2861.16	99.66
216583	774.62	95.64
216582	2111.48	99.66
216587	2994.75	100
216589	911.6	98.66
216585	864.06	97.65
216584	1724.83	99.33
216591	1693.94	97.65
216592	853.98	95.64
216597	1122.41	99.66
216590	792.51	97.65
216596	2882.77	99.66
216601	1273.23	96.98
216600	1224.99	98.32
216598	1842.2	98.32
216606	1474.21	99.66
216607	2671.8	99.66
216609	447.34	92.97
216608	1224.72	96.31
216604	837	94.97
216614	1645.83	98.32
216610	1246.18	98.32
216613	2894.17	99.66
216617	1257.76	97.65
216619	665.87	97.99
216615	1849.81	96.31
216618	1939.55	98.99
216622	488.9	92.3
216623	490.42	94.97
216626	1249.18	98.32
216628	2433.9	100
216625	1605.11	96.98
216627	1590.3	98.66
216631	2748.5	97.32
216629	5278.5	100
216632	479.55	94.97
216638	2380.23	99.66
216639	1427.38	96.98
216640	1059.15	97.65
216642	4926.18	99.66
216648	3825.92	99.66
216630	1693.95	99.66
216647	2661.7	99.66
216646	4051.4	99.66
216657	1893.81	97.65
216654	666.73	98.32
216656	1786.62	98.32
216655	1993.55	98.32
216663	1840.34	99.66
216653	3180.52	99.66
216661	2914.6	99.66
216667	2372.54	99.66
216668	2980.59	99.66
216666	4603.25	99.66
216672	707.42	98.99
216669	1114.09	97.32
216694	2100.32	98.32
216691	3336.58	99.66
216690	2710.85	98.99
216670	1387.24	98.32
216698	2072.78	98.99
216701	2372.11	99.66
216705	1889.3	98.99
216696	1308.09	98.32
216708	3237.76	99.66
216697	1828.85	98.32
216706	2524.53	99.33
216710	570.7	94.97
216713	1966.66	98.99
216712	3801.72	100
216714	778.06	96.98
216717	3181.97	99.66
216716	3191.77	99.66
216715	766.83	96.31
216720	2311.64	99.66
216718	334.24	92.3
216721	1914.14	99.33
216725	550.16	93.64
216722	544.54	93.64
216727	3843.28	100
216723	964.9	97.65
216726	3071.71	98.99
216730	2882.84	100
216724	1072.13	97.65
216731	1101.89	97.65
216735	685.81	93.98
216732	702.97	97.32
216736	1572.42	98.32
216739	2491.84	98.99
216737	904.88	96.66
216749	651.96	97.32
216741	2783.49	98.99
216747	1580.3	98.32
216751	1294.7	96.98
216743	2484.7	99.33
216748	584.84	97.32
216755	2119.81	98.32
216750	1314.83	94.97
216756	1686.62	98.32
216753	2146.99	97.65
216761	1223.8	96.98
216762	1764.7	98.99
216754	2335.3	98.99
216765	1470.45	95.64
216764	2506.49	99.33
216757	754.86	94.3
216766	795.53	96.98
216770	498.09	92.3
216773	514.5	92.3
216768	1975.21	98.32
216771	1297.19	97.65
216784	514.15	94.97
216780	1000.36	96.98
216783	1044.63	97.65
216785	473.71	96.31
216789	1448.03	98.32
216787	3243.39	99.33
216794	1603.61	98.99
216792	1903.05	98.32
216795	632.72	94.3
216798	624.55	94.97
216799	1394.47	97.65
216802	1390.11	97.65
216800	504.57	96.31
216804	3443.24	99.66
216801	1587.92	98.32
216805	1919.62	98.99
216803	1667.61	99.66
216808	859.92	93.64
216809	2539.64	96.98
216810	4816.99	97.32
216811	2584.95	99.66
216814	2644.28	99.66
216812	968.47	95.64
216815	946.83	96.31
216819	2347.89	98.99
216813	2097.88	98.32
216817	2246.96	96.98
216816	3103.17	99.66
216825	1588.35	98.99
216820	1494.61	97.65
216823	2201.36	99.66
216818	1339.97	97.65
216824	1015.06	92.97
216827	4371.2	99.66
216831	2248.77	97.65
216828	1925.01	98.99
216829	3457.35	97.32
216830	3681.66	100
216832	2851.26	99.66
216834	2074.91	99.66
216836	627.96	95.64
216833	3163.67	99.66
216835	1620.22	98.99
216840	3910.35	96.98
216837	2874.55	98.99
216841	1169.07	97.65
216842	1434.12	96.31
216839	918.42	94.97
216838	3155.94	99.66
216844	1364.8	97.65
216854	3372.8	99.66
216846	3198.39	99.66
216849	952.31	96.31
216843	3271.47	99.66
216858	3468.2	99.66
216856	2480.02	99.66
216866	1407.12	93.64
216860	2700.92	99.66
216865	2435.77	96.98
216873	3369.66	98.32
216879	1982.66	98.99
216874	1040.11	96.98
216880	1546.34	97.65
216877	998.22	96.31
216876	3052.46	99.66
216886	813.06	93.64
216878	315.92	92.97
216887	545.4	93.64
216888	621.32	94.3
216883	464	92.97
216894	1010.98	93.64
216924	1644.89	98.32
216909	1665.28	98.32
216903	1500.47	98.99
216925	2736.58	98.99
216928	1285.05	97.32
216926	4079.87	99.66
216931	385.5	92.97
216927	1038.31	96.31
216930	2397.13	98.99
216933	3665.27	99.66
216935	2550.97	97.65
216937	3832.7	99.66
216936	3518.12	99.66
216934	3710.8	99.66
216940	2048.78	97.65
216939	931.77	95.64
216942	2739.79	99.66
216938	1169.82	96.98
216944	2407.14	98.99
216943	1200.25	97.65
216941	2873.66	98.99
216947	1411.72	96.98
216950	2585.15	99.66
216949	2045.76	98.99
216948	1272.95	96.98
216946	351	91.63
216951	4343.14	100
216953	2637.37	99.66
216952	2498.06	98.32
216959	913.58	94.97
216958	810.56	94.97
216963	2157.73	97.65
216970	575.16	91.63
216965	652.98	95.64
216960	2086.46	98.32
216961	3886.69	100
216967	451.72	93.64
216974	2396.99	98.66
216968	798.5	94.97
216973	772.16	94.97
216975	1601.29	97.65
216979	3217.44	99.66
216972	618.4	94.3
216978	2590.28	98.99
216976	989.58	96.98
216981	919.31	95.64
216977	4355.62	99.66
216980	2333.41	98.32
216982	1804.08	98.32
216985	2710.92	99.33
216984	2590.68	98.32
216987	1621.05	97.65
216992	1070.1	96.98
216989	2330.47	98.32
216986	1347.15	96.31
216997	1022.42	96.98
216993	378.78	92.3
217003	740.82	92.97
216991	2306.57	97.65
217004	982.25	95.64
217008	833.94	98.99
217011	455.32	92.3
216994	519.16	92.97
217012	1703.94	98.32
217014	2429.34	98.99
217015	3425.27	99.66
217020	2914.28	99.66
217016	2636.78	98.99
217007	853.33	94.97
217017	795.54	92.3
217024	1409.39	94.3
217022	3613.07	99.66
217021	1407.88	93.64
217028	803.22	95.64
217029	3443.84	99.66
217027	1101.2	93.64
217031	2302.05	94.97
217033	2039.84	98.32
217040	4322.86	99.66
217030	4103.76	100
217041	2232.6	99.66
217042	529.07	95.64
217043	3162.9	100
217045	457.6	92.3
217050	945.11	96.98
