sample	medianCoverage	%Coverage>10x
210587	2668.11	99.66
210588	21.98	62.2
210595	844.37	96.98
210589	50.86	76.25
210590	2164.5	99.66
210603	1755.49	98.32
210598	2390.01	98.32
210602	1821.97	98.99
210597	1417.95	97.65
210610	6234.34	99.66
210605	7317.3	100
210613	6376.1	99.66
210606	3984.92	99.66
210604	6405.62	99.66
210615	4445.44	99.66
210614	6913.56	99.66
210618	2580.29	99.66
210616	8534.06	100
210617	3369	99.66
210622	7375.25	99.66
210621	4139.9	99.66
210623	3552.06	99.66
210659	5926.29	99.66
210698	7331.42	99.66
210699	7778.71	99.66
210700	0	3.34
210657	565.4	94.97
210620	1418.65	97.65
210703	43.39	76.25
210705	1644.16	97.65
210701	3329.62	99.66
210704	763.45	95.64
210706	630.46	94.97
210708	3728.97	99.66
210709	3534.92	98.99
210711	4999.42	99.66
210712	8239.66	99.66
210710_2	8972.67	100
210713	2977.48	98.99
210707	1615.55	97.65
210716	8769.01	99.66
210718	612.22	90.29
210717	1773.61	98.32
210715	8715.9	99.66
210719	3473.04	98.99
210720	2176.14	99.66
210714	6507.45	99.66
210735	7506.42	99.66
210739	307.54	93.64
210738	2592.81	98.99
210740	310.06	87.62
210742	5940.98	100
210744	4450.11	99.66
210741	3776.02	98.99
210737	4849.83	98.99
210747	1538.16	98.99
210749	4737.64	99.66
210743	6250.41	99.66
210748	6257.95	99.66
210755	5905.4	99.66
210752	4097.89	99.66
210754	3733.29	98.99
210753	5490.88	99.66
210750	652.31	88.29
210758	4459.88	98.99
210756	3720.55	98.99
210757	3601.73	99.66
210759	3874.67	99.66
210761	4040.15	99.66
210760	3637.15	99.66
210762	4159.59	98.99
210766	1.15	12.71
210765	686.1	96.98
210767	7.61	43.47
210766_2	1112.62	96.31
210773	105.56	82.27
210764	114.77	84.27
210778	5220.01	99.66
210767_2	397.28	96.98
210776	3429.86	99.33
210777	2127.86	98.66
210775	3433.04	98.99
210780_2	130.18	83.28
210780	16.48	55.86
210779	5549.59	99.66
210781	2457.73	98.99
210782	1453.69	98.99
210784_2	237.15	90.64
210783	2202.16	98.99
210790_2	2830.26	98.99
210785	1298.07	96.98
210795	524.84	93.64
210789	368.22	90.29
210791	937.07	96.98
210784	0.16	21.75
210798	383.09	90.64
210797	223.77	90.29
210790	2.49	17.39
210799	773.77	94.97
210800_2	270.94	94.3
210801	6657.38	99.66
210803	367.51	92.3
210806	12.55	51.5
210806_2	643.22	97.99
210812_2	2123.14	99.33
210807	516.54	95.64
210800	6.04	38.79
210813	2581.5	99.66
210814	1609.46	99.66
210812	723.18	96.98
210809	3173.55	99.66
210815	227.06	88.29
210816	1149.11	96.98
210815_2	710.84	96.98
210817	1530.15	98.99
210820	4103.24	99.66
210821	883.54	96.98
210822	1912.32	99.66
210823	848.48	96.31
210816_2	2086.92	98.99
210827	2773.46	99.66
210824	3456.95	99.66
210826	1401.85	97.65
210828	3046.9	99.66
210825	395.77	92.97
210830	845.57	96.98
210833	5187.64	99.66
210835	2864.77	99.66
210831	1519.5	96.98
210836	2455.49	99.66
210838	2472.36	98.99
210840	2749.28	98.99
210845	2120.54	98.99
210837	318.1	89.62
210848	3984.46	99.66
210860	1888.28	98.99
210858	2916.38	99.66
210846	3012.14	99.66
210853	292.8	92.97
210864	5320.75	99.66
210859	2766.69	98.99
210861	1908.27	98.32
210869	622.92	96.98
210881	886.02	95.64
210862	2928.1	99.66
210865	1909.71	99.66
210888	1072.3	96.98
210893	310.09	91.63
210887	2307.08	99.66
210890	650.4	96.31
210894	186.99	84.27
210897	255.56	88.29
210889	1575.88	97.65
210895	748.38	95.64
210896	475.79	93.64
210901	567.38	94.3
210908	1.48	26.75
210902	306.72	90.96
210912	205.15	85.61
210914	1264.09	97.65
210913	3113.53	98.99
210908_2	272.26	92.3
210918	625.49	93.64
210915	792.16	95.64
210919_2	1995.27	99.66
210920	209.42	85.61
210916	386.09	90.29
210921_2	1491.27	97.65
210919	0.83	2.68
210921	0.3	5.35
210926	158.73	83.6
210929	232.66	87.62
210939	893.34	94.3
210931	1291.11	96.31
210945	192.82	84.94
210934	545.88	94.97
210944	2567.9	98.99
210951	1418.43	96.31
210953	1249.91	96.98
210950	467.41	93.64
211018	573.06	96.31
210954	1144.22	96.98
